Reg No,Name,Subject,Email,Year of Study
1001,Sanya Rao,Telugu,omc2651@gmail.com,
1002,Kabir Iyer,Telugu,,
1003,Aarav Iyer,Telugu,,
1004,Kabir Rao,Telugu,,
1005,Varun Desai,Telugu,,
1006,Ishaan Verma,Telugu,,
1007,Neha Gupta,Telugu,,
1008,Kabir Gupta,Telugu,,
1009,Varun Sharma,Telugu,,
1010,Rohan Menon,Telugu,,
1011,Meera Singh,Telugu,,
1012,Ishaan Sharma,Telugu,,
1013,Kabir Yadav,Telugu,,
1014,Kabir Desai,Telugu,,
1015,Ananya Yadav,Telugu,,
1016,Neha Sharma,Telugu,,
1017,Rohan Yadav,Telugu,,
1018,Aarav Yadav,Telugu,,
1019,Rohan Menon,Telugu,,
1020,Neha Gupta,Telugu,,
1021,Sanya Verma,Telugu,,
1022,Aarav Rao,Telugu,,
1023,Ishaan Yadav,Telugu,,
1024,Aarav Sharma,Telugu,,
1025,Ananya Verma,Telugu,,
1026,Meera Menon,Telugu,,
1027,Ishaan Verma,Telugu,,
1028,Neha Menon,Telugu,,
1029,Meera Yadav,Telugu,,
1030,Aditi Verma,Telugu,,
1031,Ishaan Patil,Telugu,,
1032,Rohan Gupta,Telugu,,
1033,Sanya Menon,Telugu,,
1034,Meera Singh,Telugu,,
1035,Kabir Yadav,Telugu,,
1036,Rohan Singh,Telugu,,
1037,Aditi Menon,Telugu,,
1038,Ananya Rao,Telugu,,
1039,Varun Menon,Telugu,,
1040,Aditi Patil,Telugu,,
1041,Meera Menon,Telugu,,
1042,Sanya Menon,Telugu,,
1043,Neha Sharma,Telugu,,
1044,Rohan Rao,Telugu,,
1045,Aarav Verma,Telugu,,
1046,Ishaan Sharma,Telugu,,
1047,Ishaan Gupta,Telugu,,
1048,Meera Verma,Telugu,,
1049,Rohan Verma,Telugu,,
1050,Ishaan Rao,Telugu,,
1051,Meera Singh,English,,
1052,Sanya Yadav,English,,
1053,Meera Sharma,English,,
1054,Neha Verma,English,,
1055,Aarav Iyer,English,,
1056,Ishaan Gupta,English,,
1057,Kabir Singh,English,,
1058,Ishaan Verma,English,,
1059,Kabir Gupta,English,,
1060,Sanya Rao,English,,
1061,Varun Verma,English,,
1062,Neha Singh,English,,
1063,Kabir Menon,English,,
1064,Ananya Sharma,English,,
1065,Meera Rao,English,,
1066,Neha Sharma,English,,
1067,Sanya Gupta,English,,
1068,Varun Menon,English,,
1069,Neha Yadav,English,,
1070,Neha Patil,English,,
1071,Sanya Verma,English,,
1072,Rohan Iyer,English,,
1073,Meera Singh,English,,
1074,Meera Menon,English,,
1075,Meera Yadav,English,,
1076,Ananya Verma,English,,
1077,Rohan Patil,English,,
1078,Varun Rao,English,,
1079,Ananya Desai,English,,
1080,Kabir Iyer,English,,
1081,Ishaan Gupta,English,,
1082,Ananya Verma,English,,
1083,Kabir Yadav,English,,
1084,Aditi Verma,English,,
1085,Meera Yadav,English,,
1086,Aditi Singh,English,,
1087,Ananya Yadav,English,,
1088,Varun Menon,English,,
1089,Ananya Singh,English,,
1090,Sanya Yadav,English,,
1091,Aarav Verma,English,,
1092,Sanya Singh,English,,
1093,Sanya Menon,English,,
1094,Neha Menon,English,,
1095,Aarav Sharma,English,,
1096,Sanya Menon,English,,
1097,Kabir Patil,English,,
1098,Meera Sharma,English,,
1099,Sanya Patil,English,,
1100,Aditi Sharma,English,,
1101,Meera Desai,English,,
1102,Aarav Yadav,English,,
1103,Varun Verma,English,,
1104,Kabir Verma,English,,
1105,Varun Singh,English,,
1106,Meera Sharma,English,,
1107,Ananya Singh,English,,
1108,Aditi Yadav,English,,
1109,Kabir Sharma,English,,
1110,Ananya Gupta,English,,
1111,Varun Rao,English,,
1112,Aarav Rao,English,,
1113,Varun Verma,English,,
1114,Neha Yadav,English,,
1115,Neha Yadav,English,,
1116,Ishaan Sharma,English,,
1117,Aditi Gupta,English,,
1118,Kabir Iyer,English,,
1119,Meera Iyer,English,,
1120,Ananya Menon,English,,
1121,Aarav Patil,Maths,,
1122,Aditi Yadav,Maths,,
1123,Aarav Singh,Maths,,
1124,Ananya Gupta,Maths,,
1125,Meera Desai,Maths,,
1126,Kabir Yadav,Maths,,
1127,Ananya Rao,Maths,,
1128,Varun Gupta,Maths,,
1129,Neha Gupta,Maths,,
1130,Aditi Singh,Maths,,
1131,Rohan Yadav,Maths,,
1132,Varun Patil,Maths,,
1133,Varun Iyer,Maths,,
1134,Varun Desai,Maths,,
1135,Ishaan Patil,Maths,,
1136,Ananya Desai,Maths,,
1137,Rohan Gupta,Maths,,
1138,Aarav Rao,Maths,,
1139,Rohan Singh,Maths,,
1140,Neha Iyer,Maths,,
1141,Kabir Gupta,Social,,
1142,Aditi Patil,Social,,
1143,Sanya Singh,Social,,
1144,Rohan Iyer,Social,,
1145,Neha Yadav,Social,,
1146,Sanya Desai,Social,,
1147,Varun Patil,Social,,
1148,Neha Patil,Social,,
1149,Kabir Sharma,Social,,
1150,Varun Yadav,Social,,
1151,Meera Menon,Social,,
1152,Aditi Iyer,Social,,
1153,Sanya Patil,Social,,
1154,Ananya Iyer,Social,,
1155,Kabir Menon,Social,,
1156,Sanya Patil,Social,,
1157,Meera Menon,Social,,
1158,Aarav Sharma,Social,,
1159,Ananya Desai,Social,,
1160,Aarav Rao,Social,,
1161,Aarav Verma,Social,,
1162,Ishaan Rao,Social,,
1163,Ananya Sharma,Social,,
1164,Ishaan Iyer,Social,,
1165,Rohan Patil,Social,,
1166,Kabir Desai,Social,,
1167,Ishaan Verma,Social,,
1168,Varun Verma,Social,,
1169,Sanya Menon,Social,,
1170,Ananya Verma,Social,,
1171,Meera Rao,Social,,
1172,Sanya Rao,Social,,
1173,Rohan Rao,Social,,
1174,Meera Gupta,Social,,
1175,Varun Singh,Social,,
1176,Ishaan Patil,Social,,
1177,Kabir Menon,Social,,
1178,Varun Singh,Social,,
1179,Kabir Iyer,Social,,
1180,Varun Rao,Social,,
1181,Rohan Rao,Social,,
1182,Sanya Menon,Social,,
1183,Aarav Verma,Social,,
1184,Ananya Desai,Social,,
1185,Sanya Sharma,Social,,
1186,Meera Patil,Social,,
1187,Sanya Desai,Social,,
1188,Neha Gupta,Social,,
1189,Kabir Menon,Social,,
1190,Sanya Rao,Social,,
1191,Neha Desai,Social,,
1192,Varun Patil,Social,,
1193,Ishaan Singh,Social,,
1194,Neha Patil,Social,,
1195,Sanya Verma,Social,,
1196,Varun Singh,Social,,
1197,Ananya Verma,Social,,
1198,Meera Verma,Social,,
1199,Sanya Desai,Social,,
1200,Kabir Yadav,Social,,
